id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSURDdDRiVThBRRAB,What I like about this place is the food and the people working here. Staff are amazing  and this place is very cozy.,17 hours ago,2020-10-16 11:15:31.912154,5.0,Riley Chua,18,0,https://www.google.com/maps/contrib/113537939003031582400?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSURDODVpZ0lREAE,Tried messy breakfast. Doesn't provide condiments like jam for the muffins. Butter provided is melted instead of cold frozen butter. Muffin is too oily.  Sausage feels jelak after eating. Having a bad stomach after eating it suffering from acid reflux. Hope that the restaurant gone through food safe certification course. Still unsure if food served is fresh and properly handled.  Scrambled egg tasted weird with a strong herbs taste rather than any other brunch cafes buttery smell. Coffee is quite good.,4 days ago,2020-10-16 11:15:31.912734,1.0,J Toh,1,0,https://www.google.com/maps/contrib/112932251412218273564?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSURDbmZEeElREAE,Very good service and I love the complimentary fruit juice served in test tubes! Super cool place and their fish n chips are really crispy~  For detailed review checkout ig:@yun.eats,a week ago,2020-10-16 11:15:31.913265,5.0,Lim Yu Yun,3,0,https://www.google.com/maps/contrib/102674542366540703912?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSURDdVpmaGtBRRAB,,a week ago,2020-10-16 11:15:31.913847,5.0,Diane Gaputan,0,0,https://www.google.com/maps/contrib/105745961433478526247?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSURDdWFXNHV3RRAB,"Extra points for complimentary fruit juice served in test tubes, water served in beakers, and color scheme used. Much effort put into plating and decent serving.",a week ago,2020-10-16 11:15:31.914391,5.0,Jared Yeo,0,0,https://www.google.com/maps/contrib/112613412979736602449?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSURDN3BMOWt3RRAB,Ambience is gd n quiet!,2 weeks ago,2020-10-16 11:15:31.915109,5.0,Angeline Ng,81,0,https://www.google.com/maps/contrib/103197522865367576578?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSURDaHMyUkpBEAE,,3 weeks ago,2020-10-16 11:15:31.916257,5.0,Martin Ng,0,0,https://www.google.com/maps/contrib/111022644000684964115?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSURDc3VEYk1nEAE,Great food at reasonable prices. Good place for a lazy afternoon,3 weeks ago,2020-10-16 11:15:31.916912,4.0,Jigar Gandhi,0,0,https://www.google.com/maps/contrib/115963203852349081286?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSURDNHRlR2ZnEAE,Great place for brunches. Must try include the Messy Breakfast and the Lychee white chocolate cake....unbelievable Happy hour on beer 4$ Perfect lazy afternoon,3 weeks ago,2020-10-16 11:15:31.917610,5.0,Harsh Saxena,0,0,https://www.google.com/maps/contrib/116668155420990919817?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSURDNHYyOWZ3EAE,,3 weeks ago,2020-10-16 11:15:31.918155,4.0,Rui Zhen Tan,4,0,https://www.google.com/maps/contrib/103620050485847535145?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSURDMUs3X2dBRRAB,Nice cozy place,4 weeks ago,2020-10-16 11:15:31.918686,5.0,Joey Sim,18,0,https://www.google.com/maps/contrib/109490192965864658873?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSURDaUpISXNRRRAB,Interesting concept food joint. Cosy and relax. Food is good but slightly on pricier side. Went for lunch. Perhaps will try their breakfast.,a month ago,2020-10-16 11:15:31.919222,4.0,Roy Chan,0,0,https://www.google.com/maps/contrib/112924719955877449235?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSUQ4dTlIQk53EAE,"One of the rare find in Kembangan area. Very good service, coffee is unbelievably good. Food is good too. Prices are bit on higher side but really worth every cent. You get a complementary mixed fruit drink which is refreshing",a month ago,2020-10-16 11:15:31.919761,5.0,Chandan Thammanna,0,0,https://www.google.com/maps/contrib/114476834190595138522?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSUNDaTlINDdBRRAB,Still maintaining their food quality and service standard 👍,a month ago,2020-10-16 11:15:31.920591,4.0,Ded F,0,0,https://www.google.com/maps/contrib/100181889408605840553?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSUNDMDRMNmV3EAE,,a month ago,2020-10-16 11:15:31.921357,4.0,Danlin Lee,0,0,https://www.google.com/maps/contrib/112531454305515621209?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSUNDMDVqOG9nRRAB,,a month ago,2020-10-16 11:15:31.922025,5.0,Wei Liang Sim,0,0,https://www.google.com/maps/contrib/101094637348562766818?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSUNDN3BUWUNBEAE,Good da bomb,a month ago,2020-10-16 11:15:31.922564,4.0,Xi Zhe,0,0,https://www.google.com/maps/contrib/101938445547862706322?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSUNDanRQNy13RRAB,"Cosy cafe with an interesting concept. Was there for the first time and was served juice samplers in test tubes and water in beakers. However, their food didn’t impress. The lychee cake in particular wasn’t fresh and their mango cake was just so-so. Not a place I will patronise again.",a month ago,2020-10-16 11:15:31.923258,3.0,YK,0,0,https://www.google.com/maps/contrib/108461529890791231902?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSUNDaXVtY0Z3EAE,,a month ago,2020-10-16 11:15:31.923944,5.0,Shaun Liew,49,0,https://www.google.com/maps/contrib/106091683549240918781?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSUNDX05DZFFnEAE,"Went to fresh fruits labs for brunch. Cosy place. The pastel colour palette and deco of the cafe is fun and unconventional. Upon arrival we were given fruit juices served in test tubes on the house. The Messy breakfast was yummy and one of the more affordable brunches in Singapore. The drinks were good. Not photographed is the chocolate overload cake it was devoured too quickly. The couple at the next table had fish and chips and some pretty juices which I can’t take off my mind. Great food, good prices. Will be back (hopefully tomorrow).",a month ago,2020-10-16 11:15:31.924503,5.0,Vanessa P,0,0,https://www.google.com/maps/contrib/115078047484596999312?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSUNDaklma2VREAE,,2 months ago,2020-10-16 11:15:38.378547,5.0,David Leo,0,0,https://www.google.com/maps/contrib/100898431935143829980?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSUNDaE43SDdnRRAB,,2 months ago,2020-10-16 11:15:38.379106,5.0,min min,0,0,https://www.google.com/maps/contrib/115118112207692136597?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSUNDc05LbmhBRRAB,"Tried messy breakfast. It's good. Iced mocha, not so much. Coffee is really below average compared to other cafes. Prices are without 17% taxes. With the taxes, price to food ratio is below average. Service is good though. Probably will recommend food selection but not the coffee, given the prices.",2 months ago,2020-10-16 11:15:38.379644,3.0,JY Teo,0,0,https://www.google.com/maps/contrib/107847091547041010251?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSUQ4cjQ2WnJnRRAB,"Great place to go for a lazy Sunday brunch. Had a ""messy breakfast"" and it was really very decent and satisfying. My niece,who happens to be a somewhat picky eater, finished her soft shell crab pasta and actually asked for seconds. Her younger brother also polished off almost 3/4 of his own messy breakfast order, which was a feat in its own right as he is a very light eater. The missus ordered the pork chops which were tasty enough but not as fork tender as we would have liked,being a little on the chewy,slightly tough side.  All in, a great place for bringing young-uns,or just to while the afternoon away while enjoying a nice cold one.😆",2 months ago,2020-10-16 11:15:38.380185,4.0,Nigel Tristan,0,0,https://www.google.com/maps/contrib/102930256886821533979?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSUQ4dmNibVJREAE,,2 months ago,2020-10-16 11:15:38.380722,4.0,quang duykim,0,0,https://www.google.com/maps/contrib/101399432674440753545?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSUQ4bllXVUtREAE,Food was very good. The messy breakfast tasted genuine unlike some local imitations of English breakfasts. Service was good as waitresses were very friendly. General atmosphere is light and not too noisy. Would recommend to those looking for a place to have brunch in the east.,2 months ago,2020-10-16 11:15:38.381298,5.0,Cyrus Ponrajah,0,0,https://www.google.com/maps/contrib/103022036137983223889?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSUQ4cWNPcGhRRRAB,,2 months ago,2020-10-16 11:15:38.381841,4.0,Muhd Rashid,2,0,https://www.google.com/maps/contrib/109954515008807899686?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSUM4OTd2Mm53RRAB,,2 months ago,2020-10-16 11:15:38.382382,5.0,Weng Tay,0,0,https://www.google.com/maps/contrib/101070616742191073389?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSUM4OTV1S1pnEAE,Dishes were tasty! Ambience is soothing and service is excellent!,2 months ago,2020-10-16 11:15:38.382917,4.0,Jovinder Singh,0,0,https://www.google.com/maps/contrib/108504768574903475030?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSUM4alk3S2FBEAE,,3 months ago,2020-10-16 11:15:38.383454,4.0,Keith Lim,0,0,https://www.google.com/maps/contrib/116753004135182986425?hl=en-SG
