,review_title,review_body,bubble_rating,_id
0,Themed restaurant,"This restaurant is quite out of the way if you don't drive. But if you drive, the car park is just 2 mins walk away. The interior of the restaurant is much nicer than its surroundings. Ordered the crab meat aglio olio, caesar's salad, beef...ball pasta with fried enoki and Flaming Brew. The flaming brew is only for Instagram purpose, tastes diluted and bland. The cinnamon is too coarse. Ended the meal with a mango supreme which is sponge cake wrapped in mango mousse. The mousse is nice and light, not too sweet. Prices are reasonable.More",3,5f8825d7542b2ed695c60746
1,Wizardry cute,"Harry Potter’s popularity might be waning but the café is still attracting their die-hard fans. As we’re on a high tea trail, we’re all aboard at Platform 1094. At $55 per person, the high tea set is a magical experience with wand-swirling-exciting visual presentation and...gimmicks such as dry ice smoke wisps. There is a fun concoction of sorts – bubbling frog potion (Ok, it’s green tea) on a lit coaster, the cutest selection of Harry Potter themed sweet treats (so ingenious!) and a savoury spread so delectably presented, it’s true wizardry to resist touching any of the items.More",4,5f8825d7542b2ed695c60747
2,Nice little cafe and restaurant with harry potter twist,"Nice and clean harry potter theme cafe at singapore. Food was okay, not special. It was nice to try to potter - costume and take photos. You can acces here by metro and walk about kilometre from station. Pretty easy to find route.",3,5f8825d7542b2ed695c60748
3,All the little touches make it very special.,"We decided to stop in at Platform 1094 on our last day in Singapore, and I wasn’t expecting too much. But oh wow, what a totally charming little place! Filled with Harry Potter decor, costumes (of course we all dressed up), wands, owls and other...props. The kids (and adults) loved all the drinks that came with the dry ice making them all smoke - felt very special! Meals were all delicious and we all thought they were really well priced (a place like that in Australia would no doubt charge twice as much). Our server (Gerard?) was very attentive, very helpful and patient when we needed to split the bill between the group of 8. Will be recommending to anyone I know travelling this way!More",5,5f8825d7542b2ed695c60749
4,Loved the atmosphere and that,"Loved the atmosphere and that we could dress up and take our pics. The food was lovely and fresh. Very reasonably priced. 
We had a very attentive waiter who was very helpful. 
Even if your not a Harry Potter fan the food and desserts are...worth the visit.More",5,5f8825d7542b2ed695c6074a
5,Magic in the heartlands,"Platform 1094 is a Harry Potter themed cafe located at, well, 1094 Serangoon Road. When you first enter, the decor already looks amazing, and it definitely does not disappoint for the Hogwarts fans.

The dishes were created according to the Harry Potter theme as well,...be it Potions (non-alcoholic drinks) or Poisons (alcoholic drinks), or dishes smartly and aptly named after various scenes in the movie. The food was pretty good, especially the Crab Meat Aglio Olio, which was probably the best of its kind I have tasted so far.

There are also cloaks, scarves, ties, wands and glasses for you to dress up in and take your Muggle shot against the different corners in the cafe that are all Instagram-worthy.

Whether you are a Hogwarts fan or not, this cafe definitely creates a magical experience!More",5,5f8825d7542b2ed695c6074b
6,Not just a fun experience!,Pleasantly suprised to find the food just as good as the Harry Potter decorations. We just popped in before heading to the airport but the mozzarella sticks and truffle fries are to die for! And the desserts are an experience not to be missed!,4,5f8825d7542b2ed695c6074c
7,A Magical Experience!,"It’s a small local place that doesn’t look anything special - but the food and serve are really good. Great fun for kids and good quality , home cooked , authentic food . We will be back !",5,5f8825d7542b2ed695c6074d
8,Quick Dinner,"Popped in with my girlfriend during the ADEX expo in April, the food was nice but was just a little underwhelming. However the staff were very friendly and the cocktails were fun.",4,5f8825d7542b2ed695c6074e
9,Wow,"Upon arrival the place doesn’t look very pottery but wow the food and drinks. We ordered the afternoon tea, the presentation was amazing and the food tasted lovely too. The cafe has probs so you can dress us if you wish too.",5,5f8825d7542b2ed695c6074f
