id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURDcDdyWmFBEAE,,a day ago,2020-10-16 03:14:48.123181,5.0,Victoria LAZ,0,0,https://www.google.com/maps/contrib/102697630166157711571?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSURDOC1xQ1B3EAE,"The crab cakes are interesting, although the portion is small. The desserts are nicely plated. It’s worth a visit for Instagram photos. The quality of food is decent, overall. Small sitting area with about 10 tables indoors for 4 pax or so.",4 days ago,2020-10-16 03:14:48.123742,3.0,Al. T.,0,0,https://www.google.com/maps/contrib/112201911137213323523?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSURDOC1TOS1RRRAB,Went for my daughter's bday. We love the food,4 days ago,2020-10-16 03:14:48.124371,5.0,Kumar Indra,0,0,https://www.google.com/maps/contrib/105509520970444127763?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSURDdmNlRWx3RRAB,A pretty small cafe with nice cakes and HP inspired dishes and drinks,a week ago,2020-10-16 03:14:48.124922,4.0,zealdex -,7,0,https://www.google.com/maps/contrib/108489370674214632192?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSURDN2V2c3R3RRAB,"Pricey, but nice place",a week ago,2020-10-16 03:14:48.125453,4.0,Gin & Garfield,0,0,https://www.google.com/maps/contrib/107353623863604624641?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSURDcmZURkJREAE,,a week ago,2020-10-16 03:14:48.125983,4.0,Ahmed Shaariq Nizar,0,0,https://www.google.com/maps/contrib/101538549846610475651?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSURDamVILVRBEAE,Kids friendly place for social gathering and celebrating birthdays.,a week ago,2020-10-16 03:14:48.126510,3.0,Dan Morogh,0,0,https://www.google.com/maps/contrib/116786470929703464306?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSURDaGJmb2lRRRAB,,a week ago,2020-10-16 03:14:48.127033,4.0,Kezhan Chong,1,0,https://www.google.com/maps/contrib/117930582756462014042?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSURDc2FxNzJRRRAB,"This Hogwarts-themed restaurant is well decorated. (Went for birthday, had deco for birthday too!) Has enough lighting to take some nice pictures. Food is great.  Nice portion and tasted good. Good for kids, family and friends meal or get together. Recommended: 1. 3-broomsticks Flaming Chicken 2. Butterscotch Ale 3. Crab Aglio Olio 4. Chocolate Blackout",2 weeks ago,2020-10-16 03:14:48.127568,4.0,Khad B.,0,0,https://www.google.com/maps/contrib/117297416978216464717?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSURDenFTT0tnEAE,Great atmosphere. Good portions. Great for kids.,2 weeks ago,2020-10-16 03:14:48.128165,4.0,naniita nanda kumar,6,0,https://www.google.com/maps/contrib/116330806274295872756?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSURDaHEyMUF3EAE,,3 weeks ago,2020-10-16 03:14:54.692245,5.0,Martin Ng,0,0,https://www.google.com/maps/contrib/111022644000684964115?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSURDZ3Q2SEh3EAE,,3 weeks ago,2020-10-16 03:14:54.692825,4.0,snowflake yuuki,0,0,https://www.google.com/maps/contrib/109990668805787327022?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSURDOEtiUE9nEAE,"Platform offers a unique experience, especially for my kids who enjoyed the Harry Potter movies. Must try the Crab Meat Aglio Olio, and the kids will love how the Healing Potions are presented. Their eyes lit up the moment it was ""brewed"".",a month ago,2020-10-16 03:14:54.693424,5.0,Melvin Koh,0,0,https://www.google.com/maps/contrib/100534944773547203376?hl=en-SG
ChZDSUhNMG9nS0VJQ0FnSUNDejhQV2FnEAE,Nice place.,a month ago,2020-10-16 03:14:54.694069,4.0,Beng Seng Khoo,3,0,https://www.google.com/maps/contrib/115998267226046481077?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSUNDNV9xWThRRRAB,"If u r a HP fan, u will love the dining experience at this cafe. Food portion is big, fresh and delicious! Service is excellent. My kids love it too!",a month ago,2020-10-16 03:14:54.694639,5.0,Lauren Petrichor,0,0,https://www.google.com/maps/contrib/103627435343462361847?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSUNDaDQ3aXRBRRAB,,a month ago,2020-10-16 03:14:54.695221,5.0,Jamie Chavez,1,0,https://www.google.com/maps/contrib/116202259715581511710?hl=en-SG
ChdDSUhNMG9nS0VJQ0FnSUNDNVlLV2l3RRAB,"Interesting theme. Ambience is not bad with use of warm lights, a quiet little cafe good for catch up and gathering. Food is ok. I find the drink very gimmick. Fancy display but the taste is so regular not much creativity. Do make reservation if you are visiting as they do not have much seats.",a month ago,2020-10-16 03:14:54.695765,3.0,J Li,0,0,https://www.google.com/maps/contrib/110687871487557983807?hl=en-SG
