post_detail,caption,post_hashtags,number_of_likes,number_of_comments,competition,featured,product,promotion,infographics,others
https://instagram.fsin3-1.fna.fbcdn.net/v/t51.2885-15/e35/69280643_150828546013086_567620997158953006_n.jpg?_nc_ht=instagram.fsin3-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=egeswsq5kykAX_pCYcN&_nc_tp=18&oh=a74c4a2fe879c3e85be272597698351d&oe=5FB9FF67,Isn't it sweet to have juicy cherries pitted and baked into a buttery crust?Featuring tiny succulent cherries in our Morello Cherry Pie!ps: Our online promotion [$54 for any whole pie] ends 30 August at 2359hrs. Do visit www.windowsillpies.sg to order!,[],519,8,,,1,,,
https://instagram.fsin3-1.fna.fbcdn.net/v/t51.2885-15/e35/69568185_408665299834281_680711359093896389_n.jpg?_nc_ht=instagram.fsin3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=0G_Zg4joK1MAX9UFSpq&_nc_tp=18&oh=bcc52064a87210e05bbd567b29fc5c30&oe=5FBC94B3,"What's orange, sweet and not a carrot?Pumpkin with Bourbon cream is back this October till 31 December 2019! Order now at www.windowsillpies.sgDo place your orders early before the festive rush.#pumpkinpie",['pumpkinpie'],501,19,,,1,,,
https://instagram.fsin3-1.fna.fbcdn.net/v/t51.2885-15/e35/52087657_1271357696349798_5050506557516356553_n.jpg?_nc_ht=instagram.fsin3-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=wZ02AGzqnPgAX-R4yzk&_nc_tp=18&oh=9a614d28194d94a3d71bf946fcf0d1e0&oe=5FB8DCBA,"March is indeed, the month of Pies. There’s the upcoming “Pi” day and this week, it’s British Pie Week!Featuring our Strawberry Lemon pie 😋A little backstory for you guys, the British Pie Week was actually started to simply have everyone gather to cook and bake pies while enjoying each other’s company.We celebrate People and Pies every single day! Why not right? 😁•••••#britishpieweek #pieweek","['britishpieweek', 'pieweek']",350,4,,,1,,,
https://instagram.fsin3-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/102442858_626701178201415_4407687188301464476_n.jpg?_nc_ht=instagram.fsin3-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=HFKjB1ZNGk4AX9CtWXt&tp=19&oh=554ad14ccfaef259b6dda1ab912fdfed&oe=5FBB3E69,"It takes 49 weaves of rich, all-butter shortbread to make just one of our Heritage Sour Cherry Pie..#windowsillpies",['windowsillpies'],305,7,,,1,,,
https://instagram.fsin3-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/84256456_214624576374582_466497570134549950_n.jpg?_nc_ht=instagram.fsin3-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=fGoTBj8OS_kAX-CM_1l&tp=19&oh=94c3921ecaf8267020960c08ca1eb503&oe=5FBA0910,"It is a Pie and Parfait kind of weekend. If you are a fan of our grasshopper pies, don't miss this season's Grasshopper Pie Parfait!#windowsillpies #chocomint #softserve","['windowsillpies', 'chocomint', 'softserve']",301,4,,,1,,,
https://instagram.fsin3-1.fna.fbcdn.net/v/t51.2885-15/e35/71852565_2666745763552935_314119550196928208_n.jpg?_nc_ht=instagram.fsin3-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=gcwtTsCHjU0AX_Lffzp&_nc_tp=18&oh=473501147f51e7053d908bf1b634c855&oe=5FBA62D0,We bake pies. Lots of them. Especially for Thanksgiving. .Online orders close today for delivery on 28 November 2019 so hurry place your orders at http://windowsillpies-haji.hgw.sg before delivery slots run out !,[],290,5,,,1,,,
https://instagram.fsin3-1.fna.fbcdn.net/v/t51.2885-15/e35/52578708_2350430315187306_8136781045024261466_n.jpg?_nc_ht=instagram.fsin3-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=ss_G0uXw3CwAX_MRw2u&_nc_tp=18&oh=81b9cd1462642968a671f799c7a91fde&oe=5FBC9CFB,"Psst.. did you guys know there’s an International Pi day? It’s the celebration of the mathematical constant π. Yep, that 3.14159... 😅 Bet most of you didn’t know that aye?Pi, pies.. close enough! That day is coming soon so hit us up if you ever need some pie supplies. We got your backs all day, every day 😉•••••#internationalpiday #pi #3.14","['internationalpiday', 'pi', '3.14']",272,6,,,,,1,
https://instagram.fsin3-1.fna.fbcdn.net/v/t51.2885-15/e35/65892532_219888945650347_5278823352552854882_n.jpg?_nc_ht=instagram.fsin3-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=DB90sE2_uOIAX9YvM1f&_nc_tp=18&oh=8701712a6753a9b219e3d5d779231753&oe=5FB8F51B,"Keeping with tradition, we are celebrating our 🇸🇬 Nation's 54th Birthday with $54 Pies this August 2019!Available for Online Orders only. Shop now at www.windowsillpies.sg#happybirthdaysingapore",['happybirthdaysingapore'],259,1,,,1,1,,
https://instagram.fsin3-1.fna.fbcdn.net/v/t51.2885-15/e35/78774534_527800457771673_8906185760806576444_n.jpg?_nc_ht=instagram.fsin3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=xuP36eC4hqQAX_GEvMq&_nc_tp=18&oh=d47d66d17516f5110a9d13b74838d2d5&oe=5FBAADAC,"This December, we are releasing a collection of sweet treats to pamper you and your loved ones.The highlight of our collection, the Whimsical Petit Four, is an exclusive sampler of dainty pastries. In the box, you'll enjoy these 5 flavours:1. Foie Gras Classique2. Tarte au Pistache3. Plaisir Sucree4. Peche ala Creme5. Tarte au CitronAvailable now in-store at 17 Haji Lane (limited quantity daily) or order online at www.windowsillpies.sg!#windowsillpiesxmas2019#christmasparty ❤📸: @bakin__neko","['windowsillpiesxmas2019', 'christmasparty']",248,11,,,1,,,
https://instagram.fsin3-1.fna.fbcdn.net/v/t51.2885-15/e35/38839690_1776207312448246_8633910405661458432_n.jpg?_nc_ht=instagram.fsin3-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=_3JdTEiP6ZcAX907N2x&_nc_tp=18&oh=321bf5a40c68047882a6880e0ec40973&oe=5FBBD6B3,"Ease those Monday Blues with our August Specials!Treat yourself to pies @ $5.30/slice in-stores &Whole Pies @ $53 nett, in-stores and islandwide deliveries.(Available for ALL pie flavours!) Have a little pampering on us this month ❤",[],235,6,,,1,1,,
https://instagram.fsin3-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/116133513_1217333065269029_1155343325259141857_n.jpg?_nc_ht=instagram.fsin3-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=vxCFvAI_kQcAX8XsWAz&oh=08fe9559e0ff5d6397f779f981e3aead&oe=5FBB16E5,"This Summer, The Lo & Behold Group is pleased to launch two gourmet picnic baskets - the Picnic Essentials Kit and the Lavish Gourmet Basket - so you can trade your dining table for a picnic under blue skies. Each basket features a sumptuous assembly of delightful dishes and sweet treats from The White Rabbit's Duck Rillettes, Chicken Liver Parfait and Strawberry & Rhubarb Tart to Le Bon Funk’s sourdough. Picnic blankets, cutlery, stemware and other accessories will be available to help complete the experience. ⁠⁠Place your orders via order.thewhiterabbit.com.sg at least 3 hours in advance. ⁠⁠@lobeholdgroup #thewhiterabbitsg #lobeholdgroup #dempseyhill⁠⠀⁠","['thewhiterabbitsg', 'lobeholdgroup', 'dempseyhill']",218,0,,,1,,,
https://instagram.fsin3-1.fna.fbcdn.net/v/t51.2885-15/e35/18298352_527751460947053_238737994826121216_n.jpg?_nc_ht=instagram.fsin3-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=IEc20IAPBMwAX_BIXHD&_nc_tp=18&oh=33f67592a0b042d0ef568c400d97386c&oe=5FBA95BD,Drop by #therabbitholesg this weekend and enjoy the charm of our lush garden setting 🍃📷:@willamazing.....#igsg #lobeholdgroup #ginandtonic #gingarden #vscocam #wanderlust #sgfoodies #sgcocktail #gardenbar #instagin #instadrinks #dempsey #cocktails #gin #sgbars #ginstagram #leGINdary #food #sgfood #gintonictime #instatraveling #gintonic #drinks #instadaily #bartender #drinking #booze #gintonicly #alfresco,"['therabbitholesg', 'igsg', 'lobeholdgroup', 'ginandtonic', 'gingarden', 'vscocam', 'wanderlust', 'sgfoodies', 'sgcocktail', 'gardenbar', 'instagin', 'instadrinks', 'dempsey', 'cocktails', 'gin', 'sgbars', 'ginstagram', 'legindary', 'food', 'sgfood', 'gintonictime', 'instatraveling', 'gintonic', 'drinks', 'instadaily', 'bartender', 'drinking', 'booze', 'gintonicly', 'alfresco']",212,1,,,,,1,
https://instagram.fsin3-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/103590151_170353644509860_7840236299217422643_n.jpg?_nc_ht=instagram.fsin3-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=vDastKRqW_IAX8w0AwZ&_nc_tp=15&oh=8a53041e344f825ddcb19ff708a27c18&oe=5FB99D01,"Dear guests, we are delighted to share that The White Rabbit is welcoming all reservations in anticipation of reopening our doors from 19 June. As we look forward to celebrating your reunion with your loved ones, we invite you to plan ahead with us via reservation link in bio or by calling the restaurant. Guests may expect new exquisite plates of classic European cuisine, delectable desserts on weekdays and relish in sumptuous brunch and elegant tipples on the weekends. We cannot wait to show you how much we have missed you.As we prepare for Hospitality In A Brave New World, we remain committed to our part in protecting everyone in our community and have examined every touchpoint to develop new practices to see the group through the long-term. For more information, you may visit https://lobehold.com/bravenewworld. Meanwhile, The White Rabbit At Home Experience from our takeaway and delivery menu remains available for a romantic meal at home.@lobeholdgroup #thewhiterabbitsg #lobeholdgroup #dempseyhill","['thewhiterabbitsg', 'lobeholdgroup', 'dempseyhill']",205,1,,,,,1,
https://instagram.fsin3-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/117747717_141732500922415_4007733270037887912_n.jpg?_nc_ht=instagram.fsin3-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=UQSsiVS8eTYAX-Fm7py&oh=ed08f8e8268dfa8dcd9e7130784144d0&oe=5FBA6957,"Dial up the finesse on date night with The White Rabbit At Home Experience. This romantic feast for two delivers the best of The White Rabbit, from signatures such as our Classic Lobster Bisque and Roasted Black Truffle Chicken to a decadent Dark Chocolate Caramel Tart. Each At Home Experience comes with step by step instructions to help you heat and assemble this meal to perfection. Romance awaits. ⁠⁠The White Rabbit At Home Experience is available via order.thewhiterabbit.com.sg from Tuesday to Sunday, 11:30am-7:30pm.",[],173,1,,,1,,,
